State,Tested,Infected,Deaths,Population,Pop Density,ICU Beds,Income,Physicians
Alaska,36380,399,10,734002,1.2863,119,59687,1900
Alabama,157566,12376,504,4908621,96.9221,1533,42334,12205
Arkansas,93701,4923,102,3038999,58.403,732,42566,7150
Arizona,220612,14566,704,7378494,64.955,1559,43650,17806
California,1339316,81795,3334,39937489,256.3727,7338,62586,112906
Colorado,131837,22482,1257,5845526,56.4011,1597,56846,14509
Connecticut,185520,38430,3472,3563077,735.8689,674,74561,15605
District of Columbia,39374,7434,400,720687,11814.541,314,47285,7346
Delaware,44132,8037,304,982895,504.3073,186,51449,3148
Florida,681314,45684,2052,21992985,410.1256,5604,49417,56499
Georgia,378156,38855,1675,10736059,186.6719,2508,45745,25312
Hawaii,40511,641,17,1412687,219.9419,201,54565,3660
Iowa,107647,15349,372,3179849,56.9284,545,48823,8511
Idaho,37847,2476,77,1826156,22.0969,314,43155,3012
Illinois,621684,98030,4379,12659682,228.0243,3144,56933,43377
Indiana,189330,28705,1678,6745354,188.281,1861,46646,16816
Kansas,66990,8340,173,2910357,35.5968,767,50155,7926
Kentucky,153800,8069,366,4499692,113.9566,1392,41779,11937
Louisiana,278073,35038,2458,4645184,107.5175,1289,45542,13821
Massachusetts,476940,87925,5938,6976597,894.4355,1326,70073,36506
Maryland,208658,41546,2081,6083116,626.6731,1134,62914,24676
Maine,34776,1741,73,1345790,43.6336,256,48241,4721
Michigan,438565,52350,5017,10045029,177.6655,2423,47582,38819
Minnesota,161835,17029,748,5700671,71.5922,1171,56374,18171
Missouri,158296,11080,616,6169270,89.7453,1888,46635,20275
Mississippi,117760,11704,554,2989260,63.7056,824,37994,6597
Montana,28950,471,16,1086759,7.4668,165,47120,2326
North Carolina,265008,19700,691,10611862,218.2702,2227,45834,28379
North Dakota,57731,1994,45,761723,11.0393,238,54306,2015
Nebraska,72333,10846,132,1952570,25.4161,440,52110,5627
New Hampshire,42869,3721,182,1371246,153.1605,242,61405,4240
New Jersey,520182,149013,10586,8936574,1215.1991,1822,67609,30502
New Mexico,142246,6192,276,2096640,17.285,340,41198,5830
Nevada,103703,7046,373,3139658,28.5993,900,48225,6151
New York,1467739,352845,22843,19440469,412.5211,3952,68667,89500
Ohio,277602,28952,1720,11747694,287.5038,3314,48242,42373
Oklahoma,145218,5489,294,3954821,57.6547,1064,46128,9472
Oregon,99630,3726,140,4301089,44.8086,659,49908,12149
Pennsylvania,349700,63666,4624,12820878,286.5449,3169,55349,51069
Rhode Island,11633,2805,124,1056161,1021.4323,279,54523,4988
South Carolina,117246,12951,532,5210095,173.3174,1225,42736,12847
South Dakota,135063,9056,399,903027,11.9116,152,50141,2041
Tennessee,29045,4027,44,6897576,167.2748,2209,47179,18979
Texas,346123,18378,305,29472295,112.8204,6199,49161,64602
Utah,744937,49912,1369,3282115,39.943,565,45340,6761
Virginia,177311,7518,88,8626207,218.4403,1654,56952,23307
Vermont,201183,32145,1041,628061,68.1416,94,53598,2338
Washington,24591,944,54,7797095,117.3272,1265,60781,22036
Wisconsin,293120,18811,1031,5851754,108.0497,1159,50756,17695
West Virginia,161122,12885,467,1778070,73.9691,653,40578,5685
Wyoming,78611,1514,68,567025,5.84,102,60095,1172
